,capability,label,template
46,TempOrder,1,Should I stop taking {drug} when I'm experiencing {ade}?
47,TempOrder,1,"I'm unsure if I should stop taking {drug}, when I'm experiencing {ade}."
48,TempOrder,1,"I was taking {drug} for {time_entity}, now I started experiencing {ade}."
49,TempOrder,1,"{time_entity} ago I started taking {drug}, now I started experiencing {ade}."
50,TempOrder,1,"I was experiencing {ade} for {time_entity_s}, {time_entity_l} ago I started taking {drug}."
51,TempOrder,1,"{time_entity_l} ago I started taking {drug}, I have been experiencing {ade} for {time_entity_s}."
52,TempOrder,1,"{time_entity_s} ago I started experiencing {ade}, {time_entity_l} ago I started taking {drug}."
53,PosSent,1,"I'm taking {drug} and experiencing {ade}. But, I am happy my symptoms have reduced."
54,PosSent,1,"I'm taking {drug} and experiencing {ade}. But, I feel much better in general than without {drug}."
55,PosSent,1,"I'm taking {drug} and experiencing {ade}. But, my quality of life has increased dramatically."
56,PosSent,1,"I'm taking {drug} and experiencing {ade}. But, I haven't felt this good in years."
57,PosSent,1,"I'm taking {drug} and experiencing {ade}. But, I am happier than before taking {drug}."
58,PosSent,1,"I'm taking {drug} and experiencing {ade}. But, it is okay because {ade} is not strong."
59,PosSent,1,"I'm taking {drug} and experiencing {ade}. But, it's okay because {ade} doesn't stop me from enjoying life."
60,PosSent,1,"I'm taking {drug} and experiencing {ade}. But, it's okay because I can ignore {ade}."
61,PosSent,1,"I'm taking {drug} and experiencing {ade}. But, I like {drug} because {ade} is less severe now compared to my previous medication."
62,PosSent,1,"{drug} gives me {ade}. But, I am happy my symptoms have reduced."
63,PosSent,1,"{drug} gives me {ade}. But, I feel much better in general than without {drug}."
64,PosSent,1,"{drug} gives me {ade}. But, my quality of life has increased dramatically."
65,PosSent,1,"{drug} gives me {ade}. But, I haven't felt this good in years."
66,PosSent,1,"{drug} gives me {ade}. But, I am happier than before taking {drug}."
67,PosSent,1,"{drug} gives me {ade}. But, it is okay because {ade} is not strong."
68,PosSent,1,"{drug} gives me {ade}. But, it's okay because {ade} doesn't stop me from enjoying life."
69,PosSent,1,"{drug} gives me {ade}. But, it's okay because I can ignore {ade}."
70,PosSent,1,"{drug} gives me {ade}. But, I like {drug} because {ade} is less severe now compared to my previous medication."
71,PosSent,1,"I always have {ade} when I'm on {drug}. But, I am happy my symptoms have reduced."
72,PosSent,1,"I always have {ade} when I'm on {drug}. But, I feel much better in general than without {drug}."
73,PosSent,1,"I always have {ade} when I'm on {drug}. But, my quality of life has increased dramatically."
74,PosSent,1,"I always have {ade} when I'm on {drug}. But, I haven't felt this good in years."
75,PosSent,1,"I always have {ade} when I'm on {drug}. But, I am happier than before taking {drug}."
76,PosSent,1,"I always have {ade} when I'm on {drug}. But, it is okay because {ade} is not strong."
77,PosSent,1,"I always have {ade} when I'm on {drug}. But, it's okay because {ade} doesn't stop me from enjoying life."
78,PosSent,1,"I always have {ade} when I'm on {drug}. But, it's okay because I can ignore {ade}."
79,PosSent,1,"I always have {ade} when I'm on {drug}. But, I like {drug} because {ade} is less severe now compared to my previous medication."
80,PosSent,1,"For me, {ade} is a side-effect of {drug}. But, I am happy my symptoms have reduced."
81,PosSent,1,"For me, {ade} is a side-effect of {drug}. But, I feel much better in general than without {drug}."
82,PosSent,1,"For me, {ade} is a side-effect of {drug}. But, my quality of life has increased dramatically."
83,PosSent,1,"For me, {ade} is a side-effect of {drug}. But, I haven't felt this good in years."
84,PosSent,1,"For me, {ade} is a side-effect of {drug}. But, I am happier than before taking {drug}."
85,PosSent,1,"For me, {ade} is a side-effect of {drug}. But, it is okay because {ade} is not strong."
86,PosSent,1,"For me, {ade} is a side-effect of {drug}. But, it's okay because {ade} doesn't stop me from enjoying life."
87,PosSent,1,"For me, {ade} is a side-effect of {drug}. But, it's okay because I can ignore {ade}."
88,PosSent,1,"For me, {ade} is a side-effect of {drug}. But, I like {drug} because {ade} is less severe now compared to my previous medication."
89,Beneff,1,I'm taking {drug} and experiencing weight loss. It's a problem because I am already underweight.
90,Beneff,1,I'm taking {drug} and experiencing weight gain. It's a problem because I am already overweight.
91,Beneff,1,I'm taking {drug} and experiencing sleepiness. It's a problem because I have trouble staying awake during the day anyway.
92,Beneff,1,I'm taking {drug} and experiencing decreased need for sleep. It's a problem because I have trouble sleeping at night anyway.
93,Beneff,1,I'm taking {drug} and experiencing loss of appetite. It's a problem because I was suffering from loss of appetite before.
94,Beneff,1,I'm taking {drug} and experiencing increased appetite. It's a problem because I was overeating before.
95,Negation,1,"That's not true, I took {drug} and experienced {ade}."
96,Negation,1,I have never not experienced {ade} when I'm on {drug}.
97,Negation,1,"I don't like {drug}, it gives me {ade}."
98,Negation,1,"I don't like my doctor who gave me {drug}, now I'm experiencing {ade}."
