,capability,label,template
110,TempOrder,0,"Before I started taking {drug}, I experienced {ade}."
111,TempOrder,0,"Before I started taking {drug}, I had {ade}."
112,TempOrder,0,"Before I started taking {drug}, I lived through {ade}."
113,TempOrder,0,"Before I started taking {drug}, I suffered from {ade}."
114,TempOrder,0,"Before I was medicated with {drug}, I encountered {ade}."
115,TempOrder,0,"Before I was medicated with {drug}, I endured {ade}."
116,TempOrder,0,"Before I was medicated with {drug}, I experienced {ade}."
117,TempOrder,0,"Before I was medicated with {drug}, I had {ade}."
118,TempOrder,0,"Before I was medicated with {drug}, I lived through {ade}."
119,TempOrder,0,"Before I was medicated with {drug}, I suffered from {ade}."
120,TempOrder,0,"Before I was put on {drug}, I encountered {ade}."
121,TempOrder,0,"Before I was put on {drug}, I endured {ade}."
122,TempOrder,0,"Before I was put on {drug}, I experienced {ade}."
123,TempOrder,0,"Before I was put on {drug}, I had {ade}."
124,TempOrder,0,"Before I was put on {drug}, I lived through {ade}."
125,TempOrder,0,"Before I was put on {drug}, I suffered from {ade}."
126,TempOrder,0,"Before I was treated with {drug}, I encountered {ade}."
127,TempOrder,0,"Before I was treated with {drug}, I endured {ade}."
128,TempOrder,0,"Before I was treated with {drug}, I experienced {ade}."
129,TempOrder,0,"Before I was treated with {drug}, I had {ade}."
130,TempOrder,0,"Before I was treated with {drug}, I lived through {ade}."
131,TempOrder,0,"Before I was treated with {drug}, I suffered from {ade}."
132,TempOrder,0,"Before taking {drug}, I encountered {ade}."
133,TempOrder,0,"Before taking {drug}, I endured {ade}."
134,TempOrder,0,"Before taking {drug}, I experienced {ade}."
135,TempOrder,0,"Before taking {drug}, I had {ade}."
136,TempOrder,0,"Before taking {drug}, I lived through {ade}."
137,TempOrder,0,"Before taking {drug}, I suffered from {ade}."
138,TempOrder,0,"Ahead of taking {drug}, I encountered {ade}."
139,TempOrder,0,"Ahead of taking {drug}, I endured {ade}."
140,TempOrder,0,"Ahead of taking {drug}, I experienced {ade}."
141,TempOrder,0,"Ahead of taking {drug}, I had {ade}."
142,TempOrder,0,"Ahead of taking {drug}, I lived through {ade}."
143,TempOrder,0,"Ahead of taking {drug}, I suffered from {ade}."
144,TempOrder,0,"When I started being medicated with {drug}, I was already encountering {ade}."
145,TempOrder,0,"When I started being medicated with {drug}, I was already enduring {ade}."
146,TempOrder,0,"When I started being medicated with {drug}, I was already experiencing {ade}."
147,TempOrder,0,"When I started being medicated with {drug}, I was already having {ade}."
148,TempOrder,0,"When I started being medicated with {drug}, I was already living through {ade}."
149,TempOrder,0,"When I started being medicated with {drug}, I was already suffering from {ade}."
150,TempOrder,0,"When I started being on {drug}, I was already encountering {ade}."
151,TempOrder,0,"When I started being on {drug}, I was already enduring {ade}."
152,TempOrder,0,"When I started being on {drug}, I was already experiencing {ade}."
153,TempOrder,0,"When I started being on {drug}, I was already having {ade}."
154,TempOrder,0,"When I started being on {drug}, I was already living through {ade}."
155,TempOrder,0,"When I started being on {drug}, I was already suffering from {ade}."
156,TempOrder,0,"When I started being treated with {drug}, I was already encountering {ade}."
157,TempOrder,0,"When I started being treated with {drug}, I was already enduring {ade}."
158,TempOrder,0,"When I started being treated with {drug}, I was already experiencing {ade}."
159,TempOrder,0,"When I started being treated with {drug}, I was already having {ade}."
160,TempOrder,0,"When I started being treated with {drug}, I was already living through {ade}."
161,TempOrder,0,"When I started being treated with {drug}, I was already suffering from {ade}."
162,TempOrder,0,"When I started taking {drug}, I was already encountering {ade}."
163,TempOrder,0,"When I started taking {drug}, I was already enduring {ade}."
164,TempOrder,0,"When I started taking {drug}, I was already experiencing {ade}."
165,TempOrder,0,"When I started taking {drug}, I was already having {ade}."
166,TempOrder,0,"When I started taking {drug}, I was already living through {ade}."
167,TempOrder,0,"When I started taking {drug}, I was already suffering from {ade}."
168,TempOrder,0,"I was already encountering {ade}, when I started being medicated with {drug}."
169,TempOrder,0,"I was already encountering {ade}, when I started being on {drug}."
170,TempOrder,0,"I was already encountering {ade}, when I started being treated with {drug}."
171,TempOrder,0,"I was already encountering {ade}, when I started taking {drug}."
172,TempOrder,0,"I was already enduring {ade}, when I started being medicated with {drug}."
173,TempOrder,0,"I was already enduring {ade}, when I started being on {drug}."
174,TempOrder,0,"I was already enduring {ade}, when I started being treated with {drug}."
175,TempOrder,0,"I was already enduring {ade}, when I started taking {drug}."
176,TempOrder,0,"I was already experiencing {ade}, when I started being medicated with {drug}."
177,TempOrder,0,"I was already experiencing {ade}, when I started being on {drug}."
178,TempOrder,0,"I was already experiencing {ade}, when I started being treated with {drug}."
179,TempOrder,0,"I was already experiencing {ade}, when I started taking {drug}."
180,TempOrder,0,"I was already having {ade}, when I started being medicated with {drug}."
181,TempOrder,0,"I was already having {ade}, when I started being on {drug}."
182,TempOrder,0,"I was already having {ade}, when I started being treated with {drug}."
183,TempOrder,0,"I was already having {ade}, when I started taking {drug}."
184,TempOrder,0,"I was already living through {ade}, when I started being medicated with {drug}."
185,TempOrder,0,"I was already living through {ade}, when I started being on {drug}."
186,TempOrder,0,"I was already living through {ade}, when I started being treated with {drug}."
187,TempOrder,0,"I was already living through {ade}, when I started taking {drug}."
188,TempOrder,0,"I was already suffering from {ade}, when I started being medicated with {drug}."
189,TempOrder,0,"I was already suffering from {ade}, when I started being on {drug}."
190,TempOrder,0,"I was already suffering from {ade}, when I started being treated with {drug}."
191,TempOrder,0,"I was already suffering from {ade}, when I started taking {drug}."
192,TempOrder,0,"I was encountering {ade}, then I started taking {drug}."
193,TempOrder,0,"I was encountering {ade}, then I took {drug}."
194,TempOrder,0,"I was encountering {ade}, then I was medicated with {drug}."
195,TempOrder,0,"I was encountering {ade}, then I was on {drug}."
196,TempOrder,0,"I was encountering {ade}, then I was put on {drug}."
197,TempOrder,0,"I was encountering {ade}, then I was treated with {drug}."
198,TempOrder,0,"I was enduring {ade}, then I started taking {drug}."
199,TempOrder,0,"I was enduring {ade}, then I took {drug}."
200,TempOrder,0,"I was enduring {ade}, then I was medicated with {drug}."
201,TempOrder,0,"I was enduring {ade}, then I was on {drug}."
202,TempOrder,0,"I was enduring {ade}, then I was put on {drug}."
203,TempOrder,0,"I was enduring {ade}, then I was treated with {drug}."
204,TempOrder,0,"I was experiencing {ade}, then I started taking {drug}."
205,TempOrder,0,"I was experiencing {ade}, then I took {drug}."
206,TempOrder,0,"I was experiencing {ade}, then I was medicated with {drug}."
207,TempOrder,0,"I was experiencing {ade}, then I was on {drug}."
208,TempOrder,0,"I was experiencing {ade}, then I was put on {drug}."
209,TempOrder,0,"I was experiencing {ade}, then I was treated with {drug}."
210,TempOrder,0,"I was having {ade}, then I started taking {drug}."
211,TempOrder,0,"I was having {ade}, then I took {drug}."
212,TempOrder,0,"I was having {ade}, then I was medicated with {drug}."
213,TempOrder,0,"I was having {ade}, then I was on {drug}."
214,TempOrder,0,"I was having {ade}, then I was put on {drug}."
215,TempOrder,0,"I was having {ade}, then I was treated with {drug}."
216,TempOrder,0,"I was living through {ade}, then I started taking {drug}."
217,TempOrder,0,"I was living through {ade}, then I took {drug}."
218,TempOrder,0,"I was living through {ade}, then I was medicated with {drug}."
219,TempOrder,0,"I was living through {ade}, then I was on {drug}."
220,TempOrder,0,"I was living through {ade}, then I was put on {drug}."
221,TempOrder,0,"I was living through {ade}, then I was treated with {drug}."
222,TempOrder,0,"I was suffering from {ade}, then I started taking {drug}."
223,TempOrder,0,"I was suffering from {ade}, then I took {drug}."
224,TempOrder,0,"I was suffering from {ade}, then I was medicated with {drug}."
225,TempOrder,0,"I was suffering from {ade}, then I was on {drug}."
226,TempOrder,0,"I was suffering from {ade}, then I was put on {drug}."
227,TempOrder,0,"I was suffering from {ade}, then I was treated with {drug}."
228,TempOrder,0,"I was encountering {ade}, but it was not due to the {drug} because I had had {ade} before."
229,TempOrder,0,"I was enduring {ade}, but it was not due to the {drug} because I had had {ade} before."
230,TempOrder,0,"I was experiencing {ade}, but it was not due to the {drug} because I had had {ade} before."
231,TempOrder,0,"I was having {ade}, but it was not due to the {drug} because I had had {ade} before."
232,TempOrder,0,"I was living through {ade}, but it was not due to the {drug} because I had had {ade} before."
233,TempOrder,0,"I was suffering from {ade}, but it was not due to the {drug} because I had had {ade} before."
234,TempOrder,0,Should I start taking {drug} when I'm already encountering {ade}?
235,TempOrder,0,Should I start taking {drug} when I'm already enduring {ade}?
236,TempOrder,0,Should I start taking {drug} when I'm already experiencing {ade}?
237,TempOrder,0,Should I start taking {drug} when I'm already having {ade}?
238,TempOrder,0,Should I start taking {drug} when I'm already living through {ade}?
239,TempOrder,0,Should I start taking {drug} when I'm already suffering from {ade}?
240,TempOrder,0,"I'm unsure if I should start taking {drug}, when I'm already encountering {ade}."
241,TempOrder,0,"I'm unsure if I should start taking {drug}, when I'm already enduring {ade}."
242,TempOrder,0,"I'm unsure if I should start taking {drug}, when I'm already experiencing {ade}."
243,TempOrder,0,"I'm unsure if I should start taking {drug}, when I'm already having {ade}."
244,TempOrder,0,"I'm unsure if I should start taking {drug}, when I'm already living through {ade}."
245,TempOrder,0,"I'm unsure if I should start taking {drug}, when I'm already suffering from {ade}."
246,TempOrder,0,"Prior to being medicated with {drug}, I was encountering {ade}."
247,TempOrder,0,"Prior to being medicated with {drug}, I was enduring {ade}."
248,TempOrder,0,"Prior to being medicated with {drug}, I was experiencing {ade}."
249,TempOrder,0,"Prior to being medicated with {drug}, I was having {ade}."
250,TempOrder,0,"Prior to being medicated with {drug}, I was living through {ade}."
251,TempOrder,0,"Prior to being medicated with {drug}, I was suffering from {ade}."
252,TempOrder,0,"Prior to being on {drug}, I was encountering {ade}."
253,TempOrder,0,"Prior to being on {drug}, I was enduring {ade}."
254,TempOrder,0,"Prior to being on {drug}, I was experiencing {ade}."
255,TempOrder,0,"Prior to being on {drug}, I was having {ade}."
256,TempOrder,0,"Prior to being on {drug}, I was living through {ade}."
257,TempOrder,0,"Prior to being on {drug}, I was suffering from {ade}."
258,TempOrder,0,"Prior to being treated with {drug}, I was encountering {ade}."
259,TempOrder,0,"Prior to being treated with {drug}, I was enduring {ade}."
260,TempOrder,0,"Prior to being treated with {drug}, I was experiencing {ade}."
261,TempOrder,0,"Prior to being treated with {drug}, I was having {ade}."
262,TempOrder,0,"Prior to being treated with {drug}, I was living through {ade}."
263,TempOrder,0,"Prior to being treated with {drug}, I was suffering from {ade}."
264,TempOrder,0,"Prior to taking {drug}, I was encountering {ade}."
265,TempOrder,0,"Prior to taking {drug}, I was enduring {ade}."
266,TempOrder,0,"Prior to taking {drug}, I was experiencing {ade}."
267,TempOrder,0,"Prior to taking {drug}, I was having {ade}."
268,TempOrder,0,"Prior to taking {drug}, I was living through {ade}."
269,TempOrder,0,"Prior to taking {drug}, I was suffering from {ade}."
270,TempOrder,0,"I was encountering {ade}, prior to being medicated with {drug}."
271,TempOrder,0,"I was encountering {ade}, prior to being on {drug}."
272,TempOrder,0,"I was encountering {ade}, prior to being treated with {drug}."
273,TempOrder,0,"I was encountering {ade}, prior to taking {drug}."
274,TempOrder,0,"I was enduring {ade}, prior to being medicated with {drug}."
275,TempOrder,0,"I was enduring {ade}, prior to being on {drug}."
276,TempOrder,0,"I was enduring {ade}, prior to being treated with {drug}."
277,TempOrder,0,"I was enduring {ade}, prior to taking {drug}."
278,TempOrder,0,"I was experiencing {ade}, prior to being medicated with {drug}."
279,TempOrder,0,"I was experiencing {ade}, prior to being on {drug}."
280,TempOrder,0,"I was experiencing {ade}, prior to being treated with {drug}."
281,TempOrder,0,"I was experiencing {ade}, prior to taking {drug}."
282,TempOrder,0,"I was having {ade}, prior to being medicated with {drug}."
283,TempOrder,0,"I was having {ade}, prior to being on {drug}."
284,TempOrder,0,"I was having {ade}, prior to being treated with {drug}."
285,TempOrder,0,"I was having {ade}, prior to taking {drug}."
286,TempOrder,0,"I was living through {ade}, prior to being medicated with {drug}."
287,TempOrder,0,"I was living through {ade}, prior to being on {drug}."
288,TempOrder,0,"I was living through {ade}, prior to being treated with {drug}."
289,TempOrder,0,"I was living through {ade}, prior to taking {drug}."
290,TempOrder,0,"I was suffering from {ade}, prior to being medicated with {drug}."
291,TempOrder,0,"I was suffering from {ade}, prior to being on {drug}."
292,TempOrder,0,"I was suffering from {ade}, prior to being treated with {drug}."
293,TempOrder,0,"I was suffering from {ade}, prior to taking {drug}."
294,TempOrder,0,"I was encountering {ade} for {time_entity}, now I started being medicated with {drug}."
295,TempOrder,0,"I was encountering {ade} for {time_entity}, now I started being on {drug}."
296,TempOrder,0,"I was encountering {ade} for {time_entity}, now I started being treated with {drug}."
297,TempOrder,0,"I was encountering {ade} for {time_entity}, now I started taking {drug}."
298,TempOrder,0,"I was enduring {ade} for {time_entity}, now I started being medicated with {drug}."
299,TempOrder,0,"I was enduring {ade} for {time_entity}, now I started being on {drug}."
300,TempOrder,0,"I was enduring {ade} for {time_entity}, now I started being treated with {drug}."
301,TempOrder,0,"I was enduring {ade} for {time_entity}, now I started taking {drug}."
302,TempOrder,0,"I was experiencing {ade} for {time_entity}, now I started being medicated with {drug}."
303,TempOrder,0,"I was experiencing {ade} for {time_entity}, now I started being on {drug}."
304,TempOrder,0,"I was experiencing {ade} for {time_entity}, now I started being treated with {drug}."
305,TempOrder,0,"I was experiencing {ade} for {time_entity}, now I started taking {drug}."
306,TempOrder,0,"I was having {ade} for {time_entity}, now I started being medicated with {drug}."
307,TempOrder,0,"I was having {ade} for {time_entity}, now I started being on {drug}."
308,TempOrder,0,"I was having {ade} for {time_entity}, now I started being treated with {drug}."
309,TempOrder,0,"I was having {ade} for {time_entity}, now I started taking {drug}."
310,TempOrder,0,"I was living through {ade} for {time_entity}, now I started being medicated with {drug}."
311,TempOrder,0,"I was living through {ade} for {time_entity}, now I started being on {drug}."
312,TempOrder,0,"I was living through {ade} for {time_entity}, now I started being treated with {drug}."
313,TempOrder,0,"I was living through {ade} for {time_entity}, now I started taking {drug}."
314,TempOrder,0,"I was suffering from {ade} for {time_entity}, now I started being medicated with {drug}."
315,TempOrder,0,"I was suffering from {ade} for {time_entity}, now I started being on {drug}."
316,TempOrder,0,"I was suffering from {ade} for {time_entity}, now I started being treated with {drug}."
317,TempOrder,0,"I was suffering from {ade} for {time_entity}, now I started taking {drug}."
318,TempOrder,0,"{time_entity} ago I started encountering {ade}, now I started being medicated with {drug}."
319,TempOrder,0,"{time_entity} ago I started encountering {ade}, now I started being on {drug}."
320,TempOrder,0,"{time_entity} ago I started encountering {ade}, now I started being treated with {drug}."
321,TempOrder,0,"{time_entity} ago I started encountering {ade}, now I started taking {drug}."
322,TempOrder,0,"{time_entity} ago I started enduring {ade}, now I started being medicated with {drug}."
323,TempOrder,0,"{time_entity} ago I started enduring {ade}, now I started being on {drug}."
324,TempOrder,0,"{time_entity} ago I started enduring {ade}, now I started being treated with {drug}."
325,TempOrder,0,"{time_entity} ago I started enduring {ade}, now I started taking {drug}."
326,TempOrder,0,"{time_entity} ago I started experiencing {ade}, now I started being medicated with {drug}."
327,TempOrder,0,"{time_entity} ago I started experiencing {ade}, now I started being on {drug}."
328,TempOrder,0,"{time_entity} ago I started experiencing {ade}, now I started being treated with {drug}."
329,TempOrder,0,"{time_entity} ago I started experiencing {ade}, now I started taking {drug}."
330,TempOrder,0,"{time_entity} ago I started having {ade}, now I started being medicated with {drug}."
331,TempOrder,0,"{time_entity} ago I started having {ade}, now I started being on {drug}."
332,TempOrder,0,"{time_entity} ago I started having {ade}, now I started being treated with {drug}."
333,TempOrder,0,"{time_entity} ago I started having {ade}, now I started taking {drug}."
334,TempOrder,0,"{time_entity} ago I started living through {ade}, now I started being medicated with {drug}."
335,TempOrder,0,"{time_entity} ago I started living through {ade}, now I started being on {drug}."
336,TempOrder,0,"{time_entity} ago I started living through {ade}, now I started being treated with {drug}."
337,TempOrder,0,"{time_entity} ago I started living through {ade}, now I started taking {drug}."
338,TempOrder,0,"{time_entity} ago I started suffering from {ade}, now I started being medicated with {drug}."
339,TempOrder,0,"{time_entity} ago I started suffering from {ade}, now I started being on {drug}."
340,TempOrder,0,"{time_entity} ago I started suffering from {ade}, now I started being treated with {drug}."
341,TempOrder,0,"{time_entity} ago I started suffering from {ade}, now I started taking {drug}."
342,TempOrder,0,"I was encountering {ade} for {time_entity_l}, {time_entity_s} ago I started being medicated with {drug}."
343,TempOrder,0,"I was encountering {ade} for {time_entity_l}, {time_entity_s} ago I started being on {drug}."
344,TempOrder,0,"I was encountering {ade} for {time_entity_l}, {time_entity_s} ago I started being treated with {drug}."
345,TempOrder,0,"I was encountering {ade} for {time_entity_l}, {time_entity_s} ago I started taking {drug}."
346,TempOrder,0,"I was enduring {ade} for {time_entity_l}, {time_entity_s} ago I started being medicated with {drug}."
347,TempOrder,0,"I was enduring {ade} for {time_entity_l}, {time_entity_s} ago I started being on {drug}."
348,TempOrder,0,"I was enduring {ade} for {time_entity_l}, {time_entity_s} ago I started being treated with {drug}."
349,TempOrder,0,"I was enduring {ade} for {time_entity_l}, {time_entity_s} ago I started taking {drug}."
350,TempOrder,0,"I was experiencing {ade} for {time_entity_l}, {time_entity_s} ago I started being medicated with {drug}."
351,TempOrder,0,"I was experiencing {ade} for {time_entity_l}, {time_entity_s} ago I started being on {drug}."
352,TempOrder,0,"I was experiencing {ade} for {time_entity_l}, {time_entity_s} ago I started being treated with {drug}."
353,TempOrder,0,"I was experiencing {ade} for {time_entity_l}, {time_entity_s} ago I started taking {drug}."
354,TempOrder,0,"I was having {ade} for {time_entity_l}, {time_entity_s} ago I started being medicated with {drug}."
355,TempOrder,0,"I was having {ade} for {time_entity_l}, {time_entity_s} ago I started being on {drug}."
356,TempOrder,0,"I was having {ade} for {time_entity_l}, {time_entity_s} ago I started being treated with {drug}."
357,TempOrder,0,"I was having {ade} for {time_entity_l}, {time_entity_s} ago I started taking {drug}."
358,TempOrder,0,"I was living through {ade} for {time_entity_l}, {time_entity_s} ago I started being medicated with {drug}."
359,TempOrder,0,"I was living through {ade} for {time_entity_l}, {time_entity_s} ago I started being on {drug}."
360,TempOrder,0,"I was living through {ade} for {time_entity_l}, {time_entity_s} ago I started being treated with {drug}."
361,TempOrder,0,"I was living through {ade} for {time_entity_l}, {time_entity_s} ago I started taking {drug}."
362,TempOrder,0,"I was suffering from {ade} for {time_entity_l}, {time_entity_s} ago I started being medicated with {drug}."
363,TempOrder,0,"I was suffering from {ade} for {time_entity_l}, {time_entity_s} ago I started being on {drug}."
364,TempOrder,0,"I was suffering from {ade} for {time_entity_l}, {time_entity_s} ago I started being treated with {drug}."
365,TempOrder,0,"I was suffering from {ade} for {time_entity_l}, {time_entity_s} ago I started taking {drug}."
366,TempOrder,0,"{time_entity_l} ago I started encountering {ade}, I have been taking {drug} for {time_entity_s}."
367,TempOrder,0,"{time_entity_l} ago I started enduring {ade}, I have been taking {drug} for {time_entity_s}."
368,TempOrder,0,"{time_entity_l} ago I started experiencing {ade}, I have been taking {drug} for {time_entity_s}."
369,TempOrder,0,"{time_entity_l} ago I started having {ade}, I have been taking {drug} for {time_entity_s}."
370,TempOrder,0,"{time_entity_l} ago I started living through {ade}, I have been taking {drug} for {time_entity_s}."
371,TempOrder,0,"{time_entity_l} ago I started suffering from {ade}, I have been taking {drug} for {time_entity_s}."
372,TempOrder,0,"{time_entity_l} ago I started encountering {ade}, {time_entity_s} ago I started being medicated with {drug}."
373,TempOrder,0,"{time_entity_l} ago I started encountering {ade}, {time_entity_s} ago I started being on {drug}."
374,TempOrder,0,"{time_entity_l} ago I started encountering {ade}, {time_entity_s} ago I started being treated with {drug}."
375,TempOrder,0,"{time_entity_l} ago I started encountering {ade}, {time_entity_s} ago I started taking {drug}."
376,TempOrder,0,"{time_entity_l} ago I started enduring {ade}, {time_entity_s} ago I started being medicated with {drug}."
377,TempOrder,0,"{time_entity_l} ago I started enduring {ade}, {time_entity_s} ago I started being on {drug}."
378,TempOrder,0,"{time_entity_l} ago I started enduring {ade}, {time_entity_s} ago I started being treated with {drug}."
379,TempOrder,0,"{time_entity_l} ago I started enduring {ade}, {time_entity_s} ago I started taking {drug}."
380,TempOrder,0,"{time_entity_l} ago I started experiencing {ade}, {time_entity_s} ago I started being medicated with {drug}."
381,TempOrder,0,"{time_entity_l} ago I started experiencing {ade}, {time_entity_s} ago I started being on {drug}."
382,TempOrder,0,"{time_entity_l} ago I started experiencing {ade}, {time_entity_s} ago I started being treated with {drug}."
383,TempOrder,0,"{time_entity_l} ago I started experiencing {ade}, {time_entity_s} ago I started taking {drug}."
384,TempOrder,0,"{time_entity_l} ago I started having {ade}, {time_entity_s} ago I started being medicated with {drug}."
385,TempOrder,0,"{time_entity_l} ago I started having {ade}, {time_entity_s} ago I started being on {drug}."
386,TempOrder,0,"{time_entity_l} ago I started having {ade}, {time_entity_s} ago I started being treated with {drug}."
387,TempOrder,0,"{time_entity_l} ago I started having {ade}, {time_entity_s} ago I started taking {drug}."
388,TempOrder,0,"{time_entity_l} ago I started living through {ade}, {time_entity_s} ago I started being medicated with {drug}."
389,TempOrder,0,"{time_entity_l} ago I started living through {ade}, {time_entity_s} ago I started being on {drug}."
390,TempOrder,0,"{time_entity_l} ago I started living through {ade}, {time_entity_s} ago I started being treated with {drug}."
391,TempOrder,0,"{time_entity_l} ago I started living through {ade}, {time_entity_s} ago I started taking {drug}."
392,TempOrder,0,"{time_entity_l} ago I started suffering from {ade}, {time_entity_s} ago I started being medicated with {drug}."
